LAND        ,NAME                                            ,DATUM           ,DAUER   ,WO        ,KATEGORIE                ,GENRES                                                                                                                            ,STADT                     ,BUNDESLAND       ,BESUCHER    ,URL                                  ,PREIS(AB)
Deutschland ,EONLY FESTIVAL                                  ,15.03. - 16.03. ,2 Tage  ,drinnen   ,Electro Festivals        ,Electro/Gothic                                                                                                                    ,Neukieritzsch             ,keine Daten      ,keine Daten ,          ,€ 130.00
Deutschland ,EUROFOLK FESTIVAL                               ,31.05. - 02.06. ,3 Tage  ,draußen   ,Volksmusik Festivals     ,Volksmusik                                                                                                                        ,Ingelheim                 ,keine Daten      ,2500        ,          ,n.v.
Deutschland ,EVOLUTION FESTIVAL                              ,05.09. - 08.09. ,4 Tage  ,draußen   ,Electro Festivals        ,Dance/Disco/Electro/Electronic Dance Music (EDM)/Goa/Kunst & Kultur/Sonstiges/Techno/Trance                                       ,Garlin                    ,keine Daten      ,keine Daten ,          ,€ 150.00
Deutschland ,FÄHRMANNSFEST                                   ,02.08. - 04.08. ,3 Tage  ,draußen   ,Gemischte Festivals      ,Blues/Folk/Hip-Hop/Jazz/Pop/Punk/Reggae/Rock                                                                                      ,Hannover                  ,keine Daten      ,10000       ,          ,€ 66.00
Deutschland ,FEEL FESTIVAL                                   ,25.07. - 28.07. ,4 Tage  ,draußen   ,Gemischte Festivals      ,Dance/Electro/Kunst & Kultur/Sonstiges                                                                                            ,Lichterfeld               ,keine Daten      ,keine Daten ,          ,n.v.
Deutschland ,FEIER DEIN BUNTES LEBEN FESTIVAL                ,05.08. - 11.08. ,7 Tage  ,draußen   ,Spirituelle Festivals    ,Sonstiges/Sport/Trance                                                                                                            ,Radevormwald              ,keine Daten      ,120         ,          ,€ 498.00
Deutschland ,FERDINANDS FELD FESTIVAL                        ,02.08. - 03.08. ,2 Tage  ,draußen   ,Electro Festivals        ,Dance/Electro/House/Trance                                                                                                        ,Rotenburg (Wümme)         ,keine Daten      ,15000       ,          ,€ 49.90
Deutschland ,FESTIVAL FÜR FREUNDE                            ,01.08. - 04.08. ,4 Tage  ,unbekannt ,Kunst & Kultur Festivals ,Crossover/Film/Klassik/Kunst & Kultur/Lesung/Pop/Rock/Sonstiges                                                                   ,Planetal OT Dahnsdorf     ,keine Daten      ,500         ,          ,n.v.
Deutschland ,FESTIVAL OHNE BANDS                             ,23.05. - 26.05. ,4 Tage  ,draußen   ,Gemischte Festivals      ,Kunst & Kultur/Sonstiges/Sport                                                                                                    ,Hailtingen                ,keine Daten      ,8000        ,          ,€ 49.00
Deutschland ,FESTIVAL4FAMILY                                 ,26.05.          ,1 Tag   ,draußen   ,Gemischte Festivals      ,Dance/Disco/Electronic Dance Music (EDM)/Film/Hip-Hop/Pop/Rock/Schlager/Sport                                                     ,Hochheim                  ,keine Daten      ,keine Daten ,          ,€ 14.00
